Zonal Office,Area Office,Dealer Name,Inventory Location,Part Number,Part Description,Stock QTY,RATE,Amount
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12200ABS200S,HEAD COMP CYLINDER,1,1666.196631,1666.196631
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12200ACK000S,HEAD COMP CYLINDER,3,1706.925882,5120.777646
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12210ABZ000S,HOLDER COMPLETE CAM SHAFT,1,485.0483527,485.0483527
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12251AAF4099S,"GASKET, CYLINDER HEAD",5,64.5254901,322.6274505
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12251AANB00S,GASKET CYLINDER HEAD,51,68.3211071,3484.376462
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12251ABZ000S,GASKET CYLINDER HEAD,7,144.2334484,1009.634139
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12310ABS200S,COVER COMP HEAD,4,253.261888,1013.047552
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12311ABZ000S,COVER CYLINDER HEAD,1,462.8323976,462.8323976
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12315AAL900S,CLAMPER THROTTLE CABLE,9,12.1459746,109.3137714
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12341AANB00S,COVER CYL. HEAD L SIDE,26,77.7558428,2021.651913
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12391AAF400S,"GASKET, HEAD COVER",91,41.7517877,3799.412681
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12391AANB00S,GASKET HEAD COVER,210,18.9780853,3985.397913
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,12395AANB00S,GASKET L CYL HEAD SIDE COVER,145,7.5912341,1100.728945
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13000AAF400S,CRANK SHAFT COMP.,11,3454.011526,37994.12679
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13000AANB00S,CRANK SHAFT COMP,34,2486.129176,84528.39198
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13000ABS200S,CRANKSHAFT ASSY,10,3374.303568,33743.03568
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13000ACK000S,CRANK SHAFT COMP,31,3416.055356,105897.716
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13011ABZ000S,"KIT, RING PISTON STD",2,218.4568917,436.9137834
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13101AAF40099S,PISTON,1,225.86221,225.86221
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13101ABZ001S,PISTON,2,244.3755059,488.7510118
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13111AAF400S,PIN PISTON,2,48.8751012,97.7502024
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13111AANB00S,PISTON PIN,11,41.4697828,456.1676108
 South, Hyderabad,30003 - VENKATESHWARA ASSOCIATES,30003 MAIN WAREHOUSE,13115AAF400S,CLIP PISTON PIN 12 MM,10,2.2773702,22.773702
